GSM8272905,RNA_AML_CTRL_1551
GSM8272906,RNA_AML_CTRL_1747
GSM8272907,RNA_AML_CTRL_2194
GSM8272908,RNA_AML_CTRL_2195
GSM8272909,RNA_AML_CTRL_2207
GSM8272910,RNA_AML_CTRL_2236
GSM8272911,RNA_AML_CTRL_2273
GSM8272912,RNA_AML_CTRL_2305
GSM8272913,RNA_AML_CTRL_3313
GSM8272914,RNA_AML_CTRL_3319
GSM8272915,RNA_AML_CTRL_3323
GSM8272916,RNA_AML_CTRL_3326
GSM8272917,RNA_AML_CTRL_3488
GSM8272918,RNA_AML_CTRL_4334
GSM8272919,RNA_AML_CTRL_4338
GSM8272920,RNA_AML_CTRL_5285
GSM8272921,RNA_AML_CTRL_5286
GSM8272922,RNA_AML_CTRL_6246
GSM8272923,RNA_AML_CTRL_6374
GSM8272924,RNA_AML_CTRL_7308
GSM8272925,RNA_AML_CTRL_7326
GSM8272926,RNA_AML_RAD21_2234
GSM8272927,RNA_AML_RAD21_6379
GSM8272928,RNA_AML_RAD21_7314
GSM8272929,RNA_AML_RAD21_7324
GSM8272930,RNA_AML_RAD21_12557
GSM8272931,RNA_AML_RAD21_19725
GSM8272932,RNA_AML_RAD21_19733
GSM8272933,RNA_AML_RAD21_19740
GSM8272934,RNA_AML_RAD21_27918
GSM8272935,RNA_AML_RAD21_41580a
GSM8272936,RNA_AML_RAD21_AML0105
GSM8272937,RNA_AML_RAD21_AML0117
GSM8272938,RNA_AML_RAD21_UKR186
GSM8272939,RNA_AML_STAG2_2193
GSM8272940,RNA_AML_STAG2_2216
GSM8272941,RNA_AML_STAG2_2292
GSM8272942,RNA_AML_STAG2_3481
GSM8272943,RNA_AML_STAG2_7323
GSM8272944,RNA_AML_STAG2_12514
GSM8272945,RNA_AML_STAG2_12567
GSM8272946,RNA_AML_STAG2_24603
GSM8272947,RNA_AML_STAG2_27513
GSM8272948,RNA_AML_STAG2_36835
GSM8272949,RNA_AML_STAG2_48380
GSM8272950,RNA_AML_STAG2_BB007
